score,name,category,reviews,rating,phone,website,email,address,flags,sector
90,S&S Window Cleaning Residential - Commercial,Services,34,5.0,(602) 568-7321,https://www.coms.trading/,,"4848 E Roosevelt St, Phoenix, AZ 85008, USA",recurring/route sector,window-cleaning
90,AZ Window Cleaners,Services,11,4.9,(602) 663-9326,https://phoenixwindowcleaning.com/,,"2435 S 11th Ave, Phoenix, AZ 85007, USA",recurring/route sector,window-cleaning
90,Paneless Window Cleaning & Floor Care,Services,63,5.0,(602) 993-4411,https://panelesswindowaz.com/,,"9401 N 32nd St, Phoenix, AZ 85028, USA",recurring/route sector,window-cleaning
90,Watermelon Window Washing,Services,62,5.0,(480) 686-0312,https://maps.google.com/?cid=17164773438885141041&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"25621 S 203rd Pl, Queen Creek, AZ 85142, USA",recurring/route sector,window-cleaning
90,Clean D Window Cleaning,Services,36,4.9,(480) 557-6219,https://www.cleandwindows.com/,,"2245 W University Dr Ste 13, Tempe, AZ 85281, USA",recurring/route sector,window-cleaning
90,Reflect Window Cleaning,Services,55,5.0,(480) 648-7281,https://www.reflectwindowcleaning.com/,,"10948 E Palm Ridge Dr, Scottsdale, AZ 85255, USA",recurring/route sector,window-cleaning
90,Champion Window Cleaning,Services,69,4.7,(480) 991-2404,http://championwindowcleaningaz.com/,,"23623 N Scottsdale Rd, Scottsdale, AZ 85255, USA",recurring/route sector,window-cleaning
90,Saguaro Window Washing,Services,63,5.0,(480) 875-5893,http://www.azsaguarowindowwashing.com/,,"11535 E 6th Ave, Apache Junction, AZ 85120, USA",recurring/route sector,window-cleaning
90,Guardian Window Cleaning,Services,27,5.0,(480) 334-7779,http://guardianwindowcleaning.com/,,"123 W Oxford Ln, Gilbert, AZ 85233, USA",recurring/route sector,window-cleaning
90,EZ Window Washing LLC,Services,51,4.8,(520) 528-2300,https://ezwindowwashingllc.com/,,"9221 E Baseline Rd Ste 109 #472, Mesa, AZ 85209, USA",recurring/route sector,window-cleaning
90,Arizona Window Washers,Services,11,5.0,(480) 359-4150,https://arizonawindowwashers.com/window-cleaner-chandler/,,"3100 W Ray Rd #201, Chandler, AZ 85226, USA",recurring/route sector,window-cleaning
90,Professional Window Cleaning,Services,51,5.0,(480) 781-0301,https://www.professionalwindowcleaning.com/city/scottsdale-az-dc-ranch-silverleaf,,"20909 N 90th Pl #209, Scottsdale, AZ 85255, USA",recurring/route sector,window-cleaning
90,Scottsdale Smart Window Cleaning,Services,12,5.0,(480) 772-8334,http://www.scottsdalesmartwindowcleaning.com/,,"9375 E Shea Blvd #100, Scottsdale, AZ 85260, USA",recurring/route sector,window-cleaning
90,Professional Window Cleaning Flagstaff,Services,75,4.9,(928) 793-4477,https://www.professionalwindowcleaning.com/city/flagstaff-az,,"2020 E 6th Ave b, Flagstaff, AZ 86004, USA",recurring/route sector,window-cleaning
90,Glass Gurus Window Cleaning,Services,56,5.0,(602) 497-3560,https://glassguruaz.com/home,,"2218 E Egret Ct, Gilbert, AZ 85234, USA",recurring/route sector,window-cleaning
90,Pristine Pool Service and Repair LLC,Services,46,5.0,(602) 300-6765,https://maps.google.com/?cid=5212242757149939731&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"1800 E Deer Valley Dr, Phoenix, AZ 85024, USA",recurring/route sector,pool-service
90,Sandy Bottom Pool Service & Repair,Services,67,4.9,(623) 349-8210,http://www.sandybottompools.com/,,"4116 E Superior Ave Unit E6, Phoenix, AZ 85040, USA",recurring/route sector,pool-service
90,k&k pool service,Services,21,5.0,(602) 432-4590,http://www.kkpoolservice.com/contacts.html,,"Greenway Estates, 15207 North 23rd Pl, Phoenix, AZ 85022, USA",recurring/route sector,pool-service
90,AAA Pool Services,Services,44,4.8,(602) 413-9306,http://3apools.com/,,"428 E Thunderbird Rd, Phoenix, AZ 85022, USA",recurring/route sector,pool-service
90,Cave Creek Pool Service and Repair LLC,Services,30,4.8,(480) 382-7518,http://www.cavecreekpools.com/,,"29455 N Cave Creek Rd, Cave Creek, AZ 85331, USA",recurring/route sector,pool-service
90,Arizona Home & Pool Services,Services,58,5.0,(623) 738-0300,http://azhomeandpool.com/,,"36117 N 85th Pl, Scottsdale, AZ 85266, USA",recurring/route sector,pool-service
90,pH Balanced Pool Service,Services,63,4.9,(480) 455-9690,http://www.phbalancedpool.com/,,"330 S Gibson St, Gilbert, AZ 85296, USA",recurring/route sector,pool-service
90,Salten Pools - Pool Builders & Contractors | Swimming Pool Cleaning & Remodeling Services in Arizona,Services,79,4.8,(602) 598-1717,https://www.saltenpools.com/?utm_source=gmb&utm_medium=organic,,"1220 W Alameda Dr #101, Tempe, AZ 85282, USA",recurring/route sector,pool-service
90,Blue Clover Pool Service,Services,13,4.5,(480) 319-2286,https://maps.google.com/?cid=3074328120836903390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"638 W Contessa Cir, Mesa, AZ 85201, USA",recurring/route sector,pool-service
90,"Arizona Quality Pool Service and Repair, LLC",Services,55,4.6,(480) 695-7665,http://www.azqpools.net/,,"335 W Cullumber Ave, Gilbert, AZ 85233, USA",recurring/route sector,pool-service
90,Tropical Pool Services,Services,29,4.8,(480) 765-3269,https://www.tropicalpoolservices.com/,,"3755 E Isabella Ave, Mesa, AZ 85206, USA",recurring/route sector,pool-service
90,Crystal Falls Pool Service,Services,70,4.7,(480) 370-1714,https://spspoolcare.com/pool-services/az/chandler/crystal-falls/,,"3155 N Nevada St #5, Chandler, AZ 85225, USA",recurring/route sector,pool-service
90,Aqua Patrol Pool Service LLC,General Contractor,20,4.8,(602) 309-0477,http://www.aquapatrol.com/,,"Mesa, AZ 85212, USA",recurring/route sector,pool-service
90,Pool Pilots Pool Service and Repair,Services,55,4.9,(602) 842-7178,https://www.callpoolpilots.com/,,"3260 Hayden Rd #210, Scottsdale, AZ 85251, USA",recurring/route sector,pool-service
90,Four Seasons Pool Service,Services,54,4.9,(480) 942-9830,http://www.sparklingpoolservice.net/,,"603 W McNair St, Chandler, AZ 85225, USA",recurring/route sector,pool-service
90,Larimar Pool Services,Services,80,5.0,(480) 459-1825,http://larimarpools.com/,,"684 N Longmore St, Chandler, AZ 85224, USA",recurring/route sector,pool-service
90,Hayden's Pool Service & Repair,Services,51,4.8,(480) 452-3317,https://haydenspools.com/,,"646 W Myrtle Dr, Chandler, AZ 85248, USA",recurring/route sector,pool-service
90,Quality King Pool Service & Repair,Services,45,4.9,(480) 482-8622,http://qualitykingpools.com/,,"20462 S 188th Pl, Queen Creek, AZ 85142, USA",recurring/route sector,pool-service
90,"Sharper Image Pool Services, Inc.",General Contractor,28,5.0,(480) 522-6600,https://sharperpools.com/,,"1539 W Elliot Rd #102, Gilbert, AZ 85233, USA",recurring/route sector,pool-service
90,"Party Pool Services, LLC (ROC# 361885)",General Contractor,19,4.6,(480) 519-2333,http://www.partypoolservices.com/,,"405 W Southern Ave Ste 117, Tempe, AZ 85282, USA",recurring/route sector,pool-service
90,SunState Pest Control,Services,17,5.0,(602) 421-9595,https://www.sunstatepestaz.com/,,"2111 E Clarendon Ave, Phoenix, AZ 85016, USA",recurring/route sector,pest-control
90,Ranger Pest Control,Services,31,5.0,(602) 973-4629,http://rangerpest.net/,,"2841 W Orangewood Ave, Phoenix, AZ 85051, USA",recurring/route sector,pest-control
90,Pestkee Pest Control,Services,67,5.0,(480) 360-7376,https://pestkee.com/,,"1455 E University Dr Ste 107, Mesa, AZ 85203, USA",recurring/route sector,pest-control
90,Prizm Pest Control,Services,72,5.0,(602) 402-1018,https://www.prizmpestcontrol.com/,,"130 W Hampton Ave #1, Mesa, AZ 85210, USA",recurring/route sector,pest-control
90,Kekoa Pest Control,Services,53,5.0,(480) 294-8447,http://www.kekoapestcontrolaz.com/,,"2407 E Wesleyan Dr, Tempe, AZ 85282, USA",recurring/route sector,pest-control
90,ACTION Termite and Pest Control,Services,17,5.0,(480) 945-7378,https://www.actiontermitecontrol.com/scottsdale/?utm_source=gbp&utm_medium=organic&utm_campaign=scottsdale,,"7755 E Gray Rd, Scottsdale, AZ 85260, USA",recurring/route sector,pest-control
90,Power Strike Pest Control,Services,69,5.0,(480) 392-3909,https://powerstrikepest.com/?utm_source=google_gmb&utm_medium=organic&utm_campaign=powerstrikepest,,"155 E Frye Rd #277, Chandler, AZ 85225, USA",recurring/route sector,pest-control
90,Desert City Pest Control LLC,Services,16,5.0,(480) 307-7820,https://www.desertcitypestcontrol.com/,,"1519 W Alamo Dr, Chandler, AZ 85224, USA",recurring/route sector,pest-control
90,Nighttime Pest Control,Services,54,5.0,(602) 851-6446,https://www.nighttimepestcontrol.com/,,"1940 W Elliot Rd B105-A, Gilbert, AZ 85233, USA",recurring/route sector,pest-control
90,proof. Pest Control,Services,27,4.7,(480) 967-6555,https://proofpest.com/,,"3990 E Riggs Rd Ste 1, Chandler, AZ 85249, USA",recurring/route sector,pest-control
90,Lightning Vending Repair,Manufacturer,24,4.7,(602) 697-8363,http://www.lightningvending.com/home.html,,"3104 W Thomas Rd Ste 1003, Phoenix, AZ 85017, USA",recurring/route sector,vending-micromarket
90,Superior Vending,Manufacturer,52,5.0,(623) 271-1922,https://maps.google.com/?cid=12255821318809274976&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"1146 W Watkins St, Phoenix, AZ 85007, USA",recurring/route sector,vending-micromarket
90,Premier Vending & Food Services,Manufacturer,10,4.6,(480) 961-3969,https://premiervendinginc.com/,,"6151 W Erie St, Chandler, AZ 85226, USA",recurring/route sector,vending-micromarket
90,Southwest Vending and Micro Market Refreshments - Avanti Markets Southwest,Manufacturer,33,4.9,(623) 780-3036,http://www.southwestvending.com/,,"20807 N 20th Ave, Phoenix, AZ 85027, USA",recurring/route sector,vending-micromarket
90,Fuller Vending LLC,Manufacturer,30,4.9,(480) 269-5461,https://fullervending.com/,,"4020 E Hackamore Cir, Mesa, AZ 85205, USA",recurring/route sector,vending-micromarket
90,JJ's Vending LLC,Manufacturer,27,4.9,(602) 748-6513,https://maps.google.com/?cid=11359394920273455277&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"W Glendale Ave, Glendale, AZ 85301, USA",recurring/route sector,vending-micromarket
90,Rockin R Water Delivery,Services,47,5.0,(928) 775-7302,http://www.rockinrwater.com/,,"Dewey, AZ 86327, USA",recurring/route sector,coffee-water-service
84,United Community Management,Association / Organization,57,4.4,(480) 567-9791,https://unitedhoa.com/,,"1910 S Stapley Dr #221, Mesa, AZ 85204, USA",recurring/route sector,hoa-management
84,Desert Vista Community Management,Services,79,4.0,(480) 573-8999,http://www.mydesertvista.com/,,"2324 E University Dr, Mesa, AZ 85213, USA",recurring/route sector,hoa-management
84,Sparkletime Window Cleaning,Services,28,4.4,(480) 225-5141,https://www.sparkletime.net/,,"6929 Hayden Rd # C4-226, Scottsdale, AZ 85250, USA",recurring/route sector,window-cleaning
84,"Pure Water Window, LLC - Window Cleaning Service",Services,10,4.0,(480) 799-6886,https://www.purewaterwindow.com/,,"654 W Remington Dr, Chandler, AZ 85286, USA",recurring/route sector,window-cleaning
84,Swimming Pool Service & Repair,General Contractor,56,4.1,(602) 267-7203,https://www.poolfix.com/,,"2142 E Jefferson St, Phoenix, AZ 85034, USA",recurring/route sector,pool-service
84,Davis Pool Service & Repairs,Services,58,4.0,(480) 892-4845,https://www.davispoolservice.com/,,"4210 E Main St, Mesa, AZ 85205, USA",recurring/route sector,pool-service
84,Cardinal Pool Service,General Contractor,78,4.0,(480) 760-3471,http://cardinalpoolservice.com/,,"9221 E Baseline Rd, Mesa, AZ 85209, USA",recurring/route sector,pool-service
84,Pest Control Solutions,Services,54,4.2,(480) 963-2077,http://www.pestcontrolsolutionsaz.com/,,"952 E Baseline Rd A119, Mesa, AZ 85204, USA",recurring/route sector,pest-control
80,Real Property Management Firebird,Services,19,5.0,(602) 428-4777,https://www.rpmfirebird.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic,,"4435 E Chandler Blvd Ste 200, Phoenix, AZ 85048, USA",,hoa-management
80,Simas Property Management,Services,31,5.0,(480) 772-5024,https://maps.google.com/?cid=1862179074636390160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"6056 E Baseline Rd #102, Mesa, AZ 85206, USA",,hoa-management
80,Mountain Bridge Community Association,Association / Organization,31,4.5,(480) 284-4510,http://www.mountainbridgecommunity.com/home.php,,"8730 E Mountain Bridge Dr, Mesa, AZ 85207, USA",,hoa-management
80,Fort Lowell Realty and Property Management,Services,37,5.0,(480) 908-4544,https://www.flrpropertymgmtphoenix.com/scottsdale/,,"16427 N Scottsdale Rd Ste 428, Scottsdale, AZ 85254, USA",,hoa-management
80,Marken Property Management,Services,11,5.0,(480) 808-1111,https://markenpropertymanagement.com/,,"11111 N Scottsdale Rd Ste 110, Scottsdale, AZ 85254, USA",,hoa-management
80,Scottsdale Ranch Community Association,Non-Profit Organization,49,4.5,(480) 860-2022,http://www.scottsdaleranch.org/,,"10585 N 100th St, Scottsdale, AZ 85258, USA",,hoa-management
80,Winfield Owners Community Association,Community Center,31,4.5,(480) 707-1234,http://winfieldhoa.com/,,"33505 N Winfield Dr, Scottsdale, AZ 85266, USA",,hoa-management
80,Stonegate Community Association,Community Center,64,4.6,(480) 391-9760,http://www.stonegate-scottsdale.com/,,"11551 E Mountain View Rd, Scottsdale, AZ 85259, USA",,hoa-management
80,True10 Property Management,Services,67,4.8,(480) 500-7279,https://www.chandlergilbertpropertymanagement.com/,,"2450 S Gilbert Rd #100, Chandler, AZ 85286, USA",,hoa-management
80,Phoenix Water Softeners - Way Cool,Store,11,5.0,(623) 286-2761,https://bestphoenixplumberrepair.com/north-phoenix-plumbing-draining-water-heater-repair/,,"10000 N 31st Ave Ste 130 B101, Phoenix, AZ 85051, USA",,water-treatment
80,International Filter Water Treatment Systems,Store,22,4.8,(602) 414-0701,http://internationalfilter.com/,,"813 E University Dr, Phoenix, AZ 85034, USA",,water-treatment
80,Charger Water Treatment Products,supplier / store / point_of_interest,29,4.9,(623) 388-4837,https://www.chargerwater.com/,,"21420 N 15th Ln Ste 108, Phoenix, AZ 85027, USA",,water-treatment
80,Phoenix Water Softeners - Way Cool,Store,15,4.7,(623) 887-4347,https://bestphoenixplumberrepair.com/west-union-phoenix-plumbing-draining-water-heater-repair/,,"2550 W Union Hills Dr Ste B201, Phoenix, AZ 85027, USA",,water-treatment
80,Phoenix Water Softeners - Way Cool,Store,13,5.0,(602) 782-3542,https://bestphoenixplumberrepair.com/mesa-plumbing-draining-water-heater-repair/,,"3707 E Southern Ave Ste 20641, Mesa, AZ 85206, USA",,water-treatment
80,Chemtech Supply Inc,Wholesaler,13,4.9,(480) 833-7578,https://www.chemtechsupply.com/,,"962 E Isabella Ave, Mesa, AZ 85204, USA",,specialty-distribution
80,Pool Osmosis LLC,Swimming Pool,27,4.9,(480) 320-8957,https://go.poolosmosis.com/,,"16211 N Scottsdale Rd #237 Ste A6a, Scottsdale, AZ 85260, USA",,pool-service
80,Sirius Office Solutions - Managed IT Services Phoenix,Services,32,5.0,(602) 812-6738,https://siriusofficesolutions.com/locations-served/arizona/phoenix/?utm_source=gmb&utm_campaign=Phoenix+Google+Profile,,"7600 N 15th St Suite 150, Phoenix, AZ 85020, USA",,msp-it
80,AJ Technology Company - Managed IT support & Services Phoenix,Services,26,4.7,(602) 800-8200,http://ajtc.net/,,"2325 E Camelback Rd, Phoenix, AZ 85016, USA",,msp-it
80,Sirius Office Solutions - Managed IT Services Peoria,Services,16,4.8,(602) 851-8708,https://siriusofficesolutions.com/locations-served/arizona/peoria/?utm_source=gmb&utm_campaign=Peoria+Google+Profile,,"14050 N 83rd Ave UNIT 290, Peoria, AZ 85381, USA",,msp-it
80,AIM IT Services,Services,29,4.9,(602) 808-9552,https://aimitservices.com/,,"4720 E Cotton Gin Loop #135, Phoenix, AZ 85040, USA",,msp-it
80,MyTek | IT Services & IT Support Company | Phoenix,Services,63,4.9,(623) 312-2440,https://mytek.net/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,"7500 N Dobson Rd Ste 100, Scottsdale, AZ 85256, USA",,msp-it
80,IronEdge Group | Phoenix Managed IT Services,Services,48,5.0,(480) 752-8555,https://www.ironedgegroup.com/it-services-support-in-phoenix-arizona/,,"4450 E McLellan Rd Ste 106, Mesa, AZ 85205, USA",,msp-it
80,BlueKey IT Services,Services,26,4.7,(480) 291-8440,https://bluekeyit.com/,,"916 E Baseline Rd #227, Mesa, AZ 85204, USA",,msp-it
80,Network Systems & Solutions - Tempe Managed IT Services Company,Services,11,5.0,(480) 546-6756,https://nssaz.com/managed-it-services-tempe-az/,,"1403 W 10th Pl B117, Tempe, AZ 85281, USA",,msp-it
80,Document Technologies / Managed IT Services,telecommunications_service_provider / supplier / wholesaler,36,4.5,(480) 237-7901,http://www.doctechaz.com/,,"1350 W 23rd St, Tempe, AZ 85282, USA",,msp-it
80,"Nodes Up Tempe - IT Computer Services, VOIP Phone Solutions & Business Wireless Infrastructure",Services,11,5.0,(602) 898-8164,https://www.nodesup.technology/,,"2005 W 14th St, Tempe, AZ 85281, USA",,msp-it
80,Magnum Industrial Distributors Inc,Suppliers,17,5.0,(602) 353-0050,http://www.magnumindustrial.com/,,"4203 W Adams St, Phoenix, AZ 85009, USA",,specialty-distribution
80,Cupp's Industrial Supply,Manufacturer,29,4.9,(602) 269-2301,http://www.cuppsind.com/,,"3101 N 33rd Ave, Phoenix, AZ 85017, USA",,specialty-distribution
80,AF DISTRIBUTORS,Suppliers,18,4.7,(602) 243-6245,http://www.afdistributors.com/,,"3550 E Roeser Rd, Phoenix, AZ 85040, USA",,specialty-distribution
80,Horizon Distributors,Building Materials Store,77,4.6,(602) 305-6046,https://www.horizononline.com/landscape-supply-store/phoenix-az,,"5214 S 30th St, Phoenix, AZ 85040, USA",,specialty-distribution
80,RSD - Refrigeration Supplies Distributor,Manufacturer,20,4.9,(602) 437-0776,http://www.rsd.net/,,"3634 E Southern Ave #5, Phoenix, AZ 85040, USA",,specialty-distribution
80,Falcon Distributor LLC and fresh produce,Suppliers,32,4.8,(602) 278-9912,https://maps.google.com/?cid=3822644117861529461&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"2823 N 36th Ave #109, Phoenix, AZ 85009, USA",,specialty-distribution
80,Chem Lab Supply,Wholesaler,29,4.7,(602) 220-9011,http://www.chemlabsupply.com/,,"2810 S 24th St #110, Phoenix, AZ 85034, USA",,specialty-distribution
80,"R&B Wholesale Distributors, Inc.",Wholesaler,15,5.0,(602) 272-1200,http://www.rbdist.com/,,"353 N 44th Ave, Phoenix, AZ 85043, USA",,specialty-distribution
80,Wholesale,Wholesaler,18,4.9,(602) 269-6124,http://new.azwholesalebp.com/contact-us.aspx,,"4001 W Indian School Rd, Phoenix, AZ 85019, USA",,specialty-distribution
80,AZ1 Wholesale,Wholesaler,17,5.0,(623) 230-2348,https://maps.google.com/?cid=1884525511690595105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"6042 W Bethany Home Rd, Glendale, AZ 85301, USA",,specialty-distribution
80,Excess Distributors Inc.,Services,35,4.7,(602) 252-1280,http://www.excessdist.com/,,"946 W Lincoln St, Phoenix, AZ 85007, USA",,specialty-distribution
80,Lively Distributing,Wholesaler,34,4.7,(602) 253-8990,http://www.livelyfoods.com/,,"2633 W Cypress St, Phoenix, AZ 85009, USA",,specialty-distribution
80,Kirin Global Supplies - Wholesale Sign & Graphic Supply,Wholesaler,47,4.5,(602) 272-8655,https://www.kgsupplies.com/,,"3611 W Cambridge Ave #1357, Phoenix, AZ 85009, USA",,specialty-distribution
80,Scottsdale Specialty Produce Company,Wholesaler,13,4.7,(480) 704-4481,http://www.scottsdalespecialty.com/,,"919 E Jackson St, Phoenix, AZ 85034, USA",,specialty-distribution
80,DeFusco Industrial Supply,Hardware Store,54,4.8,(480) 966-5765,http://www.defusco.com/,,"40 W Hoover Ave, Mesa, AZ 85210, USA",,specialty-distribution
80,Sigler Wholesale Distributors,Wholesaler,28,5.0,(623) 388-5100,https://www.siglers.com/,,"7749 E Ray Rd, Mesa, AZ 85212, USA",,specialty-distribution
80,Arizona Pepper Products,Wholesaler,17,4.8,(480) 833-1908,http://www.azpepper.com/,,"638 W Broadway Rd #305, Mesa, AZ 85210, USA",,specialty-distribution
80,Horizon Distributors,Building Materials Store,70,4.6,(480) 964-1616,https://www.horizononline.com/landscape-supply-store/mesa-az,,"201 W Juanita Ave, Mesa, AZ 85210, USA",,specialty-distribution
80,Metro West Wholesale LLC,Wholesaler,13,4.7,(480) 443-9000,https://maps.google.com/?cid=7428889137143927553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"7302 E Helm Dr Ste 1007, Scottsdale, AZ 85260, USA",,specialty-distribution
80,WAVE Electronics,Wholesaler,13,4.8,(480) 240-1611,https://www.wave-electronics.com/wave-scottsdale?utm_source=google&utm_medium=organic&utm_campaign=GMB%20Listing&utm_content=Website&utm_term=scottsdale,,"16033 N 77th St a1, Scottsdale, AZ 85260, USA",,specialty-distribution
80,Horizon Distributors,Building Materials Store,48,4.9,(480) 596-8711,https://www.horizononline.com/landscape-supply-store/scottsdale-az,,"15517 N 77th St, Scottsdale, AZ 85260, USA",,specialty-distribution
80,Ecig and Vape CBD Wholesale AZ - V2Trading LLC,Wholesaler,17,4.8,(480) 389-4132,http://www.ecigandvapewholesale.com/,,"1403 W 10th Pl b114, Tempe, AZ 85281, USA",,specialty-distribution
80,Diasparx,Wholesaler,18,5.0,(480) 640-0948,https://www.diasparx.com/,,"Camelback Tower, 6900 E Camelback Rd Suite 1050, Scottsdale, AZ 85251, USA",,specialty-distribution
80,R & R Wholesale Plumbing,General Contractor,20,5.0,(480) 991-9624,https://www.rrwholesaleplumbing.net/,,"7830 E Redfield Rd #8, Scottsdale, AZ 85260, USA",,specialty-distribution
80,W.F. Williams Company,Wholesaler,10,5.0,(602) 231-0527,http://wfwilliams.com/,,"2450 E Jefferson St, Phoenix, AZ 85034, USA",,specialty-distribution
80,Vype Vapor (Wholesale) Arizona,Wholesaler,42,4.7,(702) 945-1960,http://www.vypevapor.com/,,"2140 E 5th St Ste 1, Tempe, AZ 85288, USA",,specialty-distribution
80,Arizona Wholesale Tire,Tire Shop,43,5.0,(888) 892-9847,https://arizonawholesaletire.com/,,"2130 S Douglas Dr, Chandler, AZ 85286, USA",,specialty-distribution
80,Horizon Distributors,Building Materials Store,53,4.9,(480) 961-3311,https://www.horizononline.com/landscape-supply-store/chandler-az,,"4055 W Saturn Way, Chandler, AZ 85226, USA",,specialty-distribution
80,Mayesh Wholesale Florist,Wholesaler,16,4.5,(480) 627-3400,https://www.mayesh.com/,,"3365 N Nevada St, Chandler, AZ 85225, USA",,specialty-distribution
80,Canyon Distributing - Yuma,Wholesaler,13,4.7,(928) 783-3366,http://canyondistributing.com/,,"7281 E 30th St, Yuma, AZ 85365, USA",,specialty-distribution
80,Salto Angel LLC,Wholesaler,12,5.0,(602) 203-2890,https://maps.google.com/?cid=6640830659848437593&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"Parking lot, 5020 S Ash Ave #105, Tempe, AZ 85282, USA",,specialty-distribution
80,Veseris,Wholesaler,19,4.5,(480) 894-5323,https://veseris.com/,,"2090 E University Dr #111, Tempe, AZ 85288, USA",,specialty-distribution
80,Sting 'n' Linger Salsa,Wholesaler,32,5.0,(480) 966-9555,http://www.stingnlinger.com/,,"1834 E 3rd St, Tempe, AZ 85288, USA",,specialty-distribution
80,Wholesale Quartz Countertops,Building Materials Store,34,5.0,(623) 887-9080,https://www.wholesalequartzcountertops.com/,,"1403 W 10th Pl D120, Tempe, AZ 85281, USA",,specialty-distribution
80,"Wholesale Floors, a Diverzify Company",General Contractor,22,4.5,(202) 847-6403,https://diverzify.com/brands/wholesale-floors/,,"8855 N Black Cyn Hwy, Phoenix, AZ 85021, USA",,specialty-distribution
80,Arizona Wholesale Floors,Building Materials Store,66,4.8,(480) 845-1530,https://www.arizonawholesalefloors.com/,,"124 S Ironwood Dr #2, Apache Junction, AZ 85120, USA",,specialty-distribution
80,Bills Pest Termite Control Mesa Az,Services,64,4.7,(480) 637-0420,https://billstermiteco.com/pest-control-mesa/,,"1616 E Main St #254, Mesa, AZ 85203, USA",,pest-control
80,Poor Boy Termite Control,Services,48,4.8,(480) 994-4240,https://www.poorboytermite.com/,,"14300 N Northsight Blvd #118, Scottsdale, AZ 85260, USA",,pest-control
80,Arrow Exterminators,Services,30,5.0,(602) 805-6347,https://www.arrowexterminators.com/arizona/tempe-service-center,,"325 S 48th St, Tempe, AZ 85281, USA",,pest-control
80,K & R Pest Management,Services,16,5.0,(602) 291-7815,https://www.kandrpest.com/,,"4625 S Ash Ave Ste. J-19, Tempe, AZ 85282, USA",,pest-control
80,Parks Coffee,supplier / wholesaler / manufacturer,72,4.5,(800) 889-7827,http://www.parkscoffee.com/,,"4030 E Broadway Rd #802, Phoenix, AZ 85040, USA",,specialty-distribution
